Curator Address,Curators Name,Collection ID,Collection Name,Collection Items,Timestamp,Collection fee,Paid fee
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xf6d8e606c862143556b342149a7fe0558c220375,Polygon Thunder 2021,7,1623256719,3500.00000000,350.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xc73b75640bac8bced8829d07aa57e694b446b3f9,Pride 2021,9,1623285069,4500.00000000,450.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xabeb903b3e8363577108283d69782f234a1fe7f0,Hiroto Kai Pride Day Kimono,2,1623340838,1000.00000000,100.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x6105f0f5ef8b28cf81e64551588d13221d4151ad,MetaZoo Intl. Spring 2021 Line,9,1623340924,4500.00000000,450.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xa4b33f44addd9732b7e9c33c7621f2f1d983a78a,Wonderzone Pride Collection,3,1623344204,1500.00000000,150.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x07899fe3c061a4485d11d8d81bcb9f98bbb13d68,Rainbowsaurus-Rex Pyjama Set,4,1623378079,2000.00000000,200.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x46545041c71fb175c2237b7040680101375d38d9,Hiroto Kai Fire Kimono ,2,1623378572,1000.00000000,100.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x127f8dc3d7dd91c66dc96958df1f0edb14511f84,Flamingo Party Outfit,1,1623427235,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x4d074273bd44a3c9149a5e10cd2378d34d47bed6,Pride Parade 2021!,1,1623428745,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xb009cafc5cc0551df9b682801980b1f1a9b41bd8,BrinkWear,5,1623434005,2500.00000000,250.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x152dff5bb85d6692ec742be0789352b41f7a7d86,+Love,1,1623441975,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x236e967829423d36529e40df5c61da739528f6c7,Box Bunny - Beanie Edition,1,1623766582,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xe9e86941b23fbe9d8f4dd0c5b7e5f89722936878,Voxters wearables,1,1623790725,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xb726eb521586bef24ba9f4839faabdfc4b6e10b3,Hiroto Kai Emerald Kimono,2,1623793093,1000.00000000,100.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x00a815162564d416520ad4d1a415e1c50ba4d944,OnEarth Collection,1,1623793531,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x28280eee597eb8ae4d8baa56332e0322acb8f7bc,Wonderzone Cybertorian Coat,1,1623795133,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x0cf3d779ac71276106578a3a8951846f3e2daa77,NemCat Wear,1,1623938990,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x3bb75349bfd21176b4e41f8b9afe96b4b86059db,Fire Warrior Face,1,1623946560,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x531fe44e1c78ae0d84cde566012aabdffebeb398,Federated Reserve Collection,4,1623958813,2000.00000000,200.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xdb3f95e907dc8a02096ab2c2b994466b3b7424e8,Bored Ape Yacht Club,1,1623960065,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x2550159992f6ea90f1187bd803d60613e9c1a4d1,High Roller Gear,3,1623964309,1500.00000000,150.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xee77b0a104cd6db1bbbcfa2f13076f234647c017,Skeleton Parts,3,1623964391,1500.00000000,150.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x1e337f7b1aeb1eb3190e2a438399f52807ab192e,Death By Jose Delbo,3,1623967495,1500.00000000,150.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x1f0dd28d79af69dcb7ec7f1f7ee5af2edb176cc1,Franky Needles First Edition,1,1624053143,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x5c3232279a3b85ba970f48a8408bf8b1379380fb,Party Cracker Hats,8,1624234413,4000.00000000,400.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x9e780c7e84b2eb87ae3f65d43801c852671c7873,Hiroto Kai Fire Warrior Boots,1,1624235633,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xe72b973281d95143aba22374a0d1ef910b075764,Ape 3592,1,1624235693,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x5dc6a6823a8042b4268ce3a9b4d62f1428d384f2,Laser Eyes Collection,4,1624292823,2000.00000000,200.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xdea09a35914ddcaf60be86521a4873a7d23c33d8,Sir Jackie Stewart,1,1624328367,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x15b0b386662586ba843030c74edeb5867cab5bb1,Rizzle's Fire Helmet,1,1624389893,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x6864caa38390340ae83ec0e4c67308733393ad90,Hiroto Kai Wooden Katana,1,1624398292,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x09b316127cea59bb767ed8daa9a93da3c63d19bf,DCL Curations Black C1s,2,1624398406,1000.00000000,100.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xa71322b90aa620979d025047b8db364cbddbda92,Wonderzone Jeweled King Crab Hat,1,1624399552,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xaad88062e6476ae939ec22b7c53016680cd47e26,Santa,1,1624400642,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x833b543a809fea36ecaf764ed89a9f9cd22d60a7,Skeleton,1,1624482685,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x9889b023641eab84d0831d21ea89184eba6c1c16,MetaZoo Intl. Retro 2 Kicks,6,1624544836,3000.00000000,300.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xfe54b0887ebfabd61404b2d91672147d90c7ace9,Scuba Diver,3,1624558574,1500.00000000,150.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x9cdd5e329b4aa5c1cec3a0d99fe56f9f8f7892b5,Neon Nights,1,1624571896,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x7f4607e8e286737a90ef391e78b1785796de2a2b,4th of July 2021,2,1624572066,1000.00000000,100.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xf6f601efee04e74cecac02c8c5bdc8cc0fc1c721,Nacho Mask,1,1624628418,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x1ac887fec48bbc52885014b2b3960c54bba2e9ff,feetshoes,1,1624635739,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x1b4538f43997e1f2aadde515f65696fdff1cf714,CCC - GOLD - Drop #1,3,1624719774,1500.00000000,150.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x04e43281f36e1f1bfae6f38bc276cb48fb8ac632,Phetta Verse,1,1624720612,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x638a69ea8ff2adfa8109bb4665bed71d2b289a12,MFT Digital Clothing,1,1624720714,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xe01c7ac06b37f7106eb2ea83c04092902a077bd8,Bitbones Hoodie,1,1624720898,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x0c861e408400c031f20ece5aa87aed5b73a351df,Plastic Surgery,1,1624721496,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xee8ae4c668edd43b34b98934d6d2ff82e41e6488,"RTFKT x Highsnobiety ""Paris""",9,1624738613,4500.00000000,450.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x744d33c10a45efb84ec946a05f7e3b9d96362ac7,RTFKT ,1,1624738655,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x1d6a7e9b55162cfe85c75df1b59f34ebc64f2bd9,RTFKT,1,1624738685,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x11018bdefe5c51b126b1fdbd6daf660f98761395,Slumdoge Cosmos Swag,1,1625060617,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x9463291f86dd02dbf7e7183754bd24adbecd8a54,MANAtv's Cyber Biker by Jes,4,1625078007,2000.00000000,200.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x562fa40049612263456c04b5a772535ed53a6ed9,Golden Boots - Moonshot 2020,1,1625082041,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xa6b4fc54a509497f451457518aa64c0eabe52305,Black Lives Matter 2021,3,1625502121,1500.00000000,150.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x7eedf032a24579935043b1794c0eeb00872a1e5d,CryptoKaiju,1,1625519097,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x41f2e8da4fb03d5c54cda7ce1f7b965b18400c21,Studio Nouveau Icon Series,3,1625586217,1500.00000000,150.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x9cd35964358247217339be23110d9f676dfb496c,HODLHQ OG's,1,1625586743,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xb7a8f625f0d4d9387c89dbe761fb77e15edf3322,Christmas in July,1,1625758680,500.00000000,50.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0xd56a897aac5c830ad4fbbb22399a4a46f759226a,Aloha Wear,2,1625759144,1000.00000000,100.00000000
0x399a44f5821b1f859bc236e14367c4f7c36933fb,Previous_Shibu,0x71abedc4e0f8c2f8739036d6d3f830f651e0d97e,MFT Classics,2,1625772545,1000.00000000,100.00000000
